year,vegetable,group,harvest_t,source_file,source_cell,source_symbol
1996,だいこん,根菜類,2132000,roots.xls,C31,
1996,はくさい,葉茎菜類,1162000,leaves.xls,C31,
1996,トマト,果菜類,796300,fruits.xls,X31,
1996,レタス,葉茎菜類,548400,leaves.xls,BQ31,
1996,にんじん,根菜類,736200,roots.xls,R31,
1996,きゅうり,果菜類,823000,fruits.xls,C31,
1996,ねぎ,葉茎菜類,546800,leaves.xls,CO31,
1996,なす,果菜類,481000,fruits.xls,O31,
1996,ほうれんそう,葉茎菜類,358600,leaves.xls,AG31,
1996,ブロッコリー,葉茎菜類,85100,leaves.xls,BN31,
1996,ピーマン,果菜類,166300,fruits.xls,AV31,
1996,さといも,根菜類,254100,roots.xls,AS31,
1997,ばれいしょ,根菜類,3395000,roots.xls,AJ32,
1997,キャベツ,葉茎菜類,1502000,leaves.xls,R32,
1997,たまねぎ,葉茎菜類,1257000,leaves.xls,DG32,
1997,だいこん,根菜類,2020000,roots.xls,C32,
1997,はくさい,葉茎菜類,1135000,leaves.xls,C32,
1997,トマト,果菜類,780400,fruits.xls,X32,
1997,レタス,葉茎菜類,532700,leaves.xls,BQ32,
1997,にんじん,根菜類,716100,roots.xls,R32,
1997,きゅうり,果菜類,797600,fruits.xls,C32,
1997,ねぎ,葉茎菜類,549200,leaves.xls,CO32,
1997,なす,果菜類,475000,fruits.xls,O32,
1997,ほうれんそう,葉茎菜類,331000,leaves.xls,AG32,
1997,ブロッコリー,葉茎菜類,84500,leaves.xls,BN32,
1997,ピーマン,果菜類,168600,fruits.xls,AV32,
1997,さといも,根菜類,270000,roots.xls,AS32,
1998,ばれいしょ,根菜類,3073000,roots.xls,AJ33,
1998,キャベツ,葉茎菜類,1407000,leaves.xls,R33,
1998,たまねぎ,葉茎菜類,1355000,leaves.xls,DG33,
1998,だいこん,根菜類,1902000,roots.xls,C33,
1998,はくさい,葉茎菜類,989900,leaves.xls,C33,
1998,トマト,果菜類,763600,fruits.xls,X33,
1998,レタス,葉茎菜類,506300,leaves.xls,BQ33,
1998,にんじん,根菜類,648100,roots.xls,R33,
1998,きゅうり,果菜類,746300,fruits.xls,C33,
1998,ねぎ,葉茎菜類,508500,leaves.xls,CO33,
1998,なす,果菜類,458800,fruits.xls,O33,
1998,ほうれんそう,葉茎菜類,322300,leaves.xls,AG33,
1998,ブロッコリー,葉茎菜類,73500,leaves.xls,BN33,
1998,ピーマン,果菜類,160000,fruits.xls,AV33,
1998,さといも,根菜類,258400,roots.xls,AS33,
1999,ばれいしょ,根菜類,2963000,roots.xls,AJ34,
1999,キャベツ,葉茎菜類,1476000,leaves.xls,R34,
1999,たまねぎ,葉茎菜類,1205000,leaves.xls,DG34,
1999,だいこん,根菜類,1948000,roots.xls,C34,
1999,はくさい,葉茎菜類,1079000,leaves.xls,C34,
1999,トマト,果菜類,769000,fruits.xls,X34,
1999,レタス,葉茎菜類,540500,leaves.xls,BQ34,
1999,にんじん,根菜類,676700,roots.xls,R34,
1999,きゅうり,果菜類,766000,fruits.xls,C34,
